#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-07-08T01:09:27 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5f04f1192611	
#INFO	-out.max=99999	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=99999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=II/246/out
#-nav=cat:II/246&tab:{II/246/out}&key:source=II/246&key:c=220.54852980992 11.96488163122&pos:220.54852980992 11.96488163122( 5.142666666666666 deg J2000)&HTTPPRM:&&-ref=VIZ5f04f1192611&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c=220.54852980992 11.96488163122&-c.eq=J2000&-c.r=2.5713&-c.u=deg&-c.geom=b&-order=I&-out=RAJ2000&-out=DEJ2000&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflg&-out=Rflg&-out=Bflg&-out=Cflg&-out=Xflg&-out=Aflg&-ignore=Opt=*&Opt=Opt&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=II/246/out
#-c=220.54852980992 11.96488163122
#-c.eq=J2000
#-c.r=2.5713
#-c.u=deg
#-c.geom=b
#-source=II/246/out
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=Qflg
#-out=Rflg
#-out=Bflg
#-out=Cflg
#-out=Xflg
#-out=Aflg
#
#INFO	-c=220.548530+11.964882,bd=2.571300/2.5713	
#Constraint -bmark=POST

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	_r	(F8.6)	Distance from center (220.548530+11.964882)[FK5/J2000]	[ucd=pos.angDistance]
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	Jmag	(F6.3)	?(j_m) J selected default magnitude (2)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	?(j_msigcom) J total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	?(h_m) H selected default magnitude (2)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	?(h_msigcom) H total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	?(k_msigcom) K total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Qflg	(A3)	(ph_qual) JHK Photometric quality flag (5)	[ucd=meta.code.qual;phot]
#Column	Rflg	(A3)	(rd_flg) Source of JHK default mag (6)	[ucd=meta.ref]
#Column	Bflg	(A3)	(bl_flg) JHK components fit to source (7)	[ucd=meta.code]
#Column	Cflg	(A3)	(cc_flg) Artifact contamination, confusion (8)	[ucd=meta.code]
#Column	Xflg	(I1)	[0,2] (gal_contam) Extended source contamination (10)	[ucd=meta.code]
#Column	Aflg	(I1)	[0,1] (mp_flg) Association with asteroid or comet (11)	[ucd=meta.code]
_r	_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
deg	deg	deg	deg	deg	 	mag	mag	mag	mag	mag	mag	 	 	 	 	 	
--------	------------	------------	----------	----------	-----------------	------	------	------	------	------	------	---	---	---	---	-	-
0.013114	220.53761200	+11.95727300	220.537612	+11.957273	14420902+1157261 	15.815	 0.069	15.175	 0.084	15.143	 0.156	AAC	222	111	000	0	0
0.014131	220.54383800	+11.95151700	220.543838	+11.951517	14421052+1157054 	16.542	 0.137	15.731	 0.151	15.326	      	BBU	220	110	000	0	0
0.019058	220.55907100	+11.94885500	220.559071	+11.948855	14421417+1156558 	16.593	 0.136	15.840	 0.163	15.495	      	BCU	220	110	000	0	0
0.020995	220.56809200	+11.95624700	220.568092	+11.956247	14421634+1157224 	16.205	 0.091	15.906	 0.170	15.393	      	ACU	220	110	000	0	0
0.028498	220.55841600	+11.93807500	220.558416	+11.938075	14421401+1156170 	15.776	 0.086	15.147	 0.106	14.625	 0.116	AAB	222	111	000	0	0
0.029054	220.52108800	+11.97599300	220.521088	+11.975993	14420506+1158335 	15.992	 0.085	15.183	 0.095	14.552	 0.094	AAA	222	111	000	0	0
0.033222	220.55005500	+11.99807000	220.550055	+11.998070	14421201+1159530 	14.856	 0.038	14.278	 0.043	14.228	 0.067	AAA	222	111	000	0	0
0.034284	220.51810300	+11.98189400	220.518103	+11.981894	14420434+1158548 	16.498	 0.140	16.254	 0.277	15.393	 0.232	CDD	222	111	000	0	0
0.036891	220.58369100	+11.97821700	220.583691	+11.978217	14422008+1158415 	16.454	 0.178	15.828	      	15.295	      	CUU	200	100	000	0	0
0.039085	220.58784900	+11.97182100	220.587849	+11.971821	14422108+1158185 	12.675	 0.023	12.150	 0.026	12.075	 0.028	AAA	222	111	000	0	0
0.050538	220.53291800	+11.91670700	220.532918	+11.916707	14420790+1155001 	14.088	 0.026	13.725	 0.032	13.698	 0.046	AAA	222	111	000	0	0
0.053913	220.50735100	+11.92905500	220.507351	+11.929055	14420176+1155445 	16.207	 0.120	15.535	 0.154	15.483	 0.236	BBD	222	111	000	0	0
0.054646	220.49269000	+11.96635200	220.492690	+11.966352	14415824+1157588 	16.312	 0.128	15.312	      	14.783	      	BUU	200	100	000	0	0
0.056284	220.49652800	+11.94080500	220.496528	+11.940805	14415916+1156268 	16.587	 0.156	15.946	 0.199	15.796	 0.339	CCD	222	111	000	0	0
0.057044	220.58580900	+11.92102000	220.585809	+11.921020	14422059+1155156 	15.939	 0.098	15.427	 0.132	15.235	 0.206	ABC	222	111	000	0	0
0.057321	220.49791500	+11.99376400	220.497915	+11.993764	14415949+1159375 	16.214	 0.133	15.829	 0.200	15.366	      	BCU	220	110	000	0	0
0.059147	220.49378500	+11.93978300	220.493785	+11.939783	14415850+1156232 	16.722	 0.167	16.029	 0.239	15.220	 0.215	CDC	222	111	000	0	0
0.060283	220.51981300	+11.91154600	220.519813	+11.911546	14420475+1154415 	14.654	 0.029	14.076	 0.042	13.917	 0.053	AAA	222	111	000	0	0
0.060931	220.55016500	+12.02579200	220.550165	+12.025792	14421203+1201328 	13.482	 0.025	13.155	 0.029	13.169	 0.032	AAA	222	111	000	0	0
0.061799	220.61095300	+11.97437000	220.610953	+11.974370	14422662+1158277 	15.910	 0.102	15.188	 0.119	15.125	 0.211	ABC	222	111	000	0	0
0.062556	220.60968600	+11.98316100	220.609686	+11.983161	14422632+1158593 	14.791	 0.041	14.257	 0.057	13.918	 0.072	AAA	222	111	000	0	0
0.065268	220.55104900	+12.03010300	220.551049	+12.030103	14421225+1201483 	16.147	 0.091	15.331	 0.099	15.479	 0.217	AAC	222	111	000	0	0
0.066013	220.60504600	+11.92882000	220.605046	+11.928820	14422521+1155437 	16.810	 0.160	16.093	 0.212	14.906	      	CCU	220	110	000	0	0
0.066623	220.57966500	+11.90563100	220.579665	+11.905631	14421911+1154202 	14.873	 0.038	14.299	 0.059	14.160	 0.086	AAA	222	111	000	0	0
0.067586	220.61278700	+11.98971400	220.612787	+11.989714	14422706+1159229 	14.733	 0.043	14.047	 0.049	13.853	 0.074	AAA	222	111	000	0	0
0.067842	220.51305500	+12.02317800	220.513055	+12.023178	14420313+1201234 	15.986	 0.090	15.751	 0.170	15.434	 0.240	ACD	222	111	sss	0	0
0.068486	220.49286300	+11.92335800	220.492863	+11.923358	14415828+1155240 	13.667	 0.030	13.199	 0.031	13.182	 0.040	AAA	222	111	000	0	0
